Label	Synonym
Peruvian in Lima, Peru	Peruvian
Puerto Rican in Puerto Rico	Puerto Rican
Aleut in Russia (SGDP)	Aleut
Altaian in Russia (SGDP)	Altaian
Chukchi in Russia (SGDP)	Chukchi
Eskimo Chaplin in Russia (SGDP)	Eskimo Chaplin
Eskimo Naukan in Russia (SGDP)	Eskimo Naukan
Eskimo Sireniki in Russia (SGDP)	Eskimo Sireniki
Even in Russia (SGDP)	Even
Itelman in Russia (SGDP)	Itelman
Kyrgyz in Kyrgyzystan (SGDP)	Kyrgyz
Mansi in Russia (SGDP)	Mansi
Mongola in China (SGDP)	Mongola
Tlingit in Russia (SGDP)	Tlingit
Tubalar in Russia (SGDP)	Tubalar
Ulchi in Russia (SGDP)	Ulchi
Yakut in Russia (SGDP)	Yakut
Balochi in Pakistan (HGDP)	Balochi
Brahui in Pakistan (HGDP)	Brahui
Burusho in Pakistan (HGDP)	Burusho
Hazara in Pakistan (HGDP)	Hazara
Kalash in Pakistan (HGDP)	Kalash
Makrani in Pakistan (HGDP)	Makrani
Pathan in Pakistan (HGDP)	Pathan
Sindhi in Pakistan (HGDP)	Sindhi
Uygur in China (HGDP)	Uygur
Cambodian in Cambodia (HGDP)	Cambodian
Dai in China (HGDP)	Dai
Daur in China (HGDP)	Daur
Han in China (HGDP)	Han
Hezhen in China (HGDP)	Hezhen
Japanese in Japan (HGDP)	Japanese
Lahu in China (HGDP)	Lahu
Miao in China (HGDP)	Miao
Mongolian in China (HGDP)	Mongolian
Naxi in China (HGDP)	Naxi
Northern Han in China (HGDP)	Northern Han
Oroqen in China (HGDP)	Oroqen
She in China (HGDP)	She
Tu in China (HGDP)	Tu
Tujia in China (HGDP)	Tujia
Xibo in China (HGDP)	Xibo
Yakut in Siberia (HGDP)	Yakut
Yi in China (HGDP)	Yi
Ami in Taiwan (SGDP)	Ami
Atayal in Taiwan (SGDP)	Atayal
Burmese in Myanmar (SGDP)	Burmese
Cambodian in Cambodia (SGDP)	Cambodian
Dai in China (SGDP)	Dai
Daur in China (SGDP)	Daur
Han in China (SGDP)	Han
Hezhen in China (SGDP)	Hezhen
Japanese in Japan (SGDP)	Japanese
Kinh in Vietnam (SGDP)	Kinh
Korean in Korea (SGDP)	Korean
Lahu in China (SGDP)	Lahu
Miao in China (SGDP)	Miao
Naxi in China (SGDP)	Naxi
Oroqen in China (SGDP)	Oroqen
She in China (SGDP)	She
Thai in Thailand (SGDP)	Thai
Tu in China (SGDP)	Tu
Tujia in China (SGDP)	Tujia
Uygur in China (SGDP)	Uygur
Xibo in China (SGDP)	Xibo
Yi in China (SGDP)	Yi
Chinese Dai in Xishuangbanna, China	Dai Chinese
Han Chinese in Beijing, China	Han Chinese
Japanese in Tokyo, Japan	Japanese
Kinh in Ho Chi Minh City, Vietnam	Kinh Vietnamese
Han Chinese South	Southern Han Chinese
Adygei in Caucasus, Russia (HGDP)	Adygei
Basque in France (HGDP)	Basque
Bergamo Italian in Bergamo, Italy (HGDP)	Bergamo Italian
French in France (HGDP)	French
Orcadian in Orkney (HGDP)	Orcadian
Russian in Russia (HGDP)	Russian
Sardinian in Italy (HGDP)	Sardinian
Tuscan in Italy (HGDP)	Tuscan
British in England and Scotland	British
Utah residents (CEPH) with Northern and Western European ancestry	CEPH
Finnish in Finland	Finnish
Iberian populations in Spain	Iberian
Toscani in Italy	Toscani
Bedouin in Negev, Israel (HGDP)	Bedouin
Druze in Carmel, Israel (HGDP)	Druze
Mozabite in Mzab, Algeria (HGDP)	Mozabite
Palestinian in Central, Israel (HGDP)	Palestinian
Bougainville in Bougainville (HGDP)	Bougainville
Papuan Highlands in New Guinea (HGDP)	Papuan Highlands
Papuan Sepik in New Guinea (HGDP)	Papuan Sepik
Australian in Australia (SGDP)	Australian
Bougainville in Papua New Guinea (SGDP)	Bougainville
Dusun in Brunei (SGDP)	Dusun
